"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Achievement of President Rodrigo Duterte, sa loob ng 3 BUWAN! Na hindi ibinabalita ng mga TV-Networks sa... https://t.co/jXFepIiztm",FALSE,0,NA,2016-10-11 10:12:41,FALSE,NA,"785785182921949184",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tantan_galendo",0,FALSE,FALSE,NA,NA
"2","Philippines president Rodrigo Duterte orders US forces out of country, cutting 65 years of military ties https://t.co/IJH7yJA7zK",FALSE,0,NA,2016-10-11 10:12:32,FALSE,NA,"785785144502325248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilovephotocall",0,FALSE,FALSE,NA,NA
"3","RT @XHNews: Philippines, U.S. cut short joint military drill. President Duterte wants this to be last joint drill https://t.co/v6UDBO0V1E",FALSE,0,NA,2016-10-11 10:12:27,FALSE,NA,"785785124864479232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","friendmoscow",73,TRUE,FALSE,NA,NA
"4","RT @LINKAGESproject: ‚ÄúPresident Duterte has revoked the human, civil, and political rights of people who use drugs‚Äù: https://t.co/BBuX03BbV‚Ä¶",FALSE,0,NA,2016-10-11 10:12:16,FALSE,NA,"785785078798491648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sp3llyr",3,TRUE,FALSE,NA,NA
"5","RT @cnnphilippines: President Rodrigo Duterte is standing his ground: The upcoming PH-U.S. joint war games will be the last https://t.co/Pd‚Ä¶",FALSE,0,NA,2016-10-11 10:11:54,FALSE,NA,"785784985340874752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","freschenotizie",4,TRUE,FALSE,NA,NA
"6","The #Philippine President #Duterte's Next Campaign: Public Smoking Ban @AP https://t.co/1IOhZ54TDg",FALSE,0,NA,2016-10-11 10:11:45,FALSE,NA,"785784949932646400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MurrayHiebert1",0,FALSE,FALSE,NA,NA
"7","YES! Philippines president Duterte the punisher set to BAN smoking after drugs war;BY ALLAH PURIFY EVIL BRITISH ""BAT"" ON EARTH INSHA'ALLAH.",FALSE,0,NA,2016-10-11 10:10:49,FALSE,NA,"785784714409877506",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kamochina64",0,FALSE,FALSE,NA,NA
"8","BREAKING: President Duterte to visit Japan on October 25‚Äì27 https://t.co/zOk7f4rhBh https://t.co/cvwTYymivu",FALSE,0,NA,2016-10-11 10:10:33,FALSE,NA,"785784644654534658",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheManilaLink",0,FALSE,FALSE,NA,NA
"9","Ex-Philippine president Ramos says Duterte government a ""letdown"" https://t.co/E5kS3b8bz4 via @yahoosg",FALSE,0,NA,2016-10-11 10:09:53,FALSE,NA,"785784479897915392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MakNabong",0,FALSE,FALSE,NA,NA
"10","Philippines president Duterte the punisher set to BAN smoking after drugs war;BY ALLAH PURIFY ALL EVIL BRITISH ""BAT"" ON EARTH INSHA'ALLAH.",FALSE,0,NA,2016-10-11 10:09:52,FALSE,NA,"785784473006645248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kamochina64",0,FALSE,FALSE,NA,NA
"11","RT @ChinaDailyAsia: Philippine President Duterte hails China's offer to build rehab center that can house 1,600 drug dependents https://t.c‚Ä¶",FALSE,0,NA,2016-10-11 10:09:39,FALSE,NA,"785784419239890944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cdroundtable",1,TRUE,FALSE,NA,NA
"12","Philippine President Duterte's next campaign: public smoking ban via /r/news @icedpickles https://t.co/LWwcnCTJKX https://t.co/JnGBfmHsdm",FALSE,0,NA,2016-10-11 10:09:37,FALSE,NA,"785784412617183233",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","philusb",0,FALSE,FALSE,NA,NA
"13","FLASH:  Duterte shrugs off actress‚Äô remark: It‚Äôs her constitutional right: President Rodrigo‚Ä¶ https://t.co/WkdlG8KOTT",FALSE,0,NA,2016-10-11 10:09:02,FALSE,NA,"785784266215059456",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Ivan226622",0,FALSE,FALSE,NA,NA
"14","RT @nytimes: The president of the Philippines has made no secret of his world view: ""I will break up with America"" https://t.co/L23xg3c091‚Ä¶",FALSE,0,NA,2016-10-11 10:08:26,FALSE,NA,"785784112816750592",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MohdMuzzammilK",177,TRUE,FALSE,NA,NA
"15","Ì†ºÌ∑´Ì†ºÌ∑∑ #Philippines : #Duterte un Pr√©sident choquant et populaire - Tribune de Sophie Boisseau du Rocher/ Ifri‚Ä¶ https://t.co/se0TE9pvtB",FALSE,0,NA,2016-10-11 10:08:25,TRUE,NA,"785784110081904640",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AsiaNews_FR",0,FALSE,FALSE,NA,NA
